GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BE2001
"G0100010","1930","Alabama","010","Autauga","0010","Autauga",72.3
"G0100030","1930","Alabama","010","Baldwin","0030","Baldwin",73.7
"G0100050","1930","Alabama","010","Barbour","0050","Barbour",82.5
"G0100070","1930","Alabama","010","Bibb","0070","Bibb",72.7
"G0100090","1930","Alabama","010","Blount","0090","Blount",64.8
"G0100110","1930","Alabama","010","Bullock","0110","Bullock",78.4
"G0100130","1930","Alabama","010","Butler","0130","Butler",74.9
"G0100150","1930","Alabama","010","Calhoun","0150","Calhoun",69.9
"G0100170","1930","Alabama","010","Chambers","0170","Chambers",66.8
"G0100190","1930","Alabama","010","Cherokee","0190","Cherokee",71.6
"G0100210","1930","Alabama","010","Chilton","0210","Chilton",60.6
"G0100230","1930","Alabama","010","Choctaw","0230","Choctaw",89.9
"G0100250","1930","Alabama","010","Clarke","0250","Clarke",79.6
"G0100270","1930","Alabama","010","Clay","0270","Clay",70.6
"G0100290","1930","Alabama","010","Cleburne","0290","Cleburne",86.7
"G0100310","1930","Alabama","010","Coffee","0310","Coffee",80.3
"G0100330","1930","Alabama","010","Colbert","0330","Colbert",62.5
"G0100350","1930","Alabama","010","Conecuh","0350","Conecuh",63.3
"G0100370","1930","Alabama","010","Coosa","0370","Coosa",107.5
"G0100390","1930","Alabama","010","Covington","0390","Covington",71.4
"G0100410","1930","Alabama","010","Crenshaw","0410","Crenshaw",73.9
"G0100430","1930","Alabama","010","Cullman","0430","Cullman",52.5
"G0100450","1930","Alabama","010","Dale","0450","Dale",93.9
"G0100470","1930","Alabama","010","Dallas","0470","Dallas",48.4
"G0100490","1930","Alabama","010","DeKalb","0490","Dekalb",57.2
"G0100510","1930","Alabama","010","Elmore","0510","Elmore",61.7
"G0100530","1930","Alabama","010","Escambia","0530","Escambia",65.0
"G0100550","1930","Alabama","010","Etowah","0550","Etowah",64.6
"G0100570","1930","Alabama","010","Fayette","0570","Fayette",96.0
"G0100590","1930","Alabama","010","Franklin","0590","Franklin",68.8
"G0100610","1930","Alabama","010","Geneva","0610","Geneva",71.8
"G0100630","1930","Alabama","010","Greene","0630","Greene",53.2
"G0100650","1930","Alabama","010","Hale","0650","Hale",51.6
