GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BY0001
"G0100010","1940","Alabama","010","Autauga","0010","Autauga",104.9
"G0100030","1940","Alabama","010","Baldwin","0030","Baldwin",78.9
"G0100050","1940","Alabama","010","Barbour","0050","Barbour",112.0
"G0100070","1940","Alabama","010","Bibb","0070","Bibb",86.6
"G0100090","1940","Alabama","010","Blount","0090","Blount",68.8
"G0100110","1940","Alabama","010","Bullock","0110","Bullock",105.5
"G0100130","1940","Alabama","010","Butler","0130","Butler",91.4
"G0100150","1940","Alabama","010","Calhoun","0150","Calhoun",85.3
"G0100170","1940","Alabama","010","Chambers","0170","Chambers",98.8
"G0100190","1940","Alabama","010","Cherokee","0190","Cherokee",89.5
"G0100210","1940","Alabama","010","Chilton","0210","Chilton",72.4
"G0100230","1940","Alabama","010","Choctaw","0230","Choctaw",79.7
"G0100250","1940","Alabama","010","Clarke","0250","Clarke",77.5
"G0100270","1940","Alabama","010","Clay","0270","Clay",87.6
"G0100290","1940","Alabama","010","Cleburne","0290","Cleburne",91.3
"G0100310","1940","Alabama","010","Coffee","0310","Coffee",94.8
"G0100330","1940","Alabama","010","Colbert","0330","Colbert",100.8
"G0100350","1940","Alabama","010","Conecuh","0350","Conecuh",73.8
"G0100370","1940","Alabama","010","Coosa","0370","Coosa",130.7
"G0100390","1940","Alabama","010","Covington","0390","Covington",85.6
"G0100410","1940","Alabama","010","Crenshaw","0410","Crenshaw",98.2
"G0100430","1940","Alabama","010","Cullman","0430","Cullman",57.2
"G0100450","1940","Alabama","010","Dale","0450","Dale",116.9
"G0100470","1940","Alabama","010","Dallas","0470","Dallas",76.2
"G0100490","1940","Alabama","010","DeKalb","0490","Dekalb",59.7
"G0100510","1940","Alabama","010","Elmore","0510","Elmore",82.9
"G0100530","1940","Alabama","010","Escambia","0530","Escambia",73.0
"G0100550","1940","Alabama","010","Etowah","0550","Etowah",71.5
"G0100570","1940","Alabama","010","Fayette","0570","Fayette",96.2
"G0100590","1940","Alabama","010","Franklin","0590","Franklin",88.9
"G0100610","1940","Alabama","010","Geneva","0610","Geneva",77.6
"G0100630","1940","Alabama","010","Greene","0630","Greene",70.2
"G0100650","1940","Alabama","010","Hale","0650","Hale",70.9
"G0100670","1940","Alabama","010","Henry","0670","Henry",111.6
"G0100690","1940","Alabama","010","Houston","0690","Houston",72.3
"G0100710","1940","Alabama","010","Jackson","0710","Jackson",79.3
"G0100730","1940","Alabama","010","Jefferson","0730","Jefferson",39.0
"G0100750","1940","Alabama","010","Lamar","0750","Lamar",92.0
"G0100770","1940","Alabama","010","Lauderdale","0770","Lauderdale",81.4
"G0100790","1940","Alabama","010","Lawrence","0790","Lawrence",80.6
"G0100810","1940","Alabama","010","Lee","0810","Lee",115.7
"G0100830","1940","Alabama","010","Limestone","0830","Limestone",68.8
"G0100850","1940","Alabama","010","Lowndes","0850","Lowndes",79.1
"G0100870","1940","Alabama","010","Macon","0870","Macon",77.2
"G0100890","1940","Alabama","010","Madison","0890","Madison",81.8
"G0100910","1940","Alabama","010","Marengo","0910","Marengo",75.8
"G0100930","1940","Alabama","010","Marion","0930","Marion",83.8
"G0100950","1940","Alabama","010","Marshall","0950","Marshall",51.5
"G0100970","1940","Alabama","010","Mobile","0970","Mobile",65.6
"G0100990","1940","Alabama","010","Monroe","0990","Monroe",76.5
"G0101010","1940","Alabama","010","Montgomery","1010","Montgomery",114.2
"G0101030","1940","Alabama","010","Morgan","1030","Morgan",76.5
"G0101050","1940","Alabama","010","Perry","1050","Perry",81.1
"G0101070","1940","Alabama","010","Pickens","1070","Pickens",93.8
"G0101090","1940","Alabama","010","Pike","1090","Pike",106.0
"G0101110","1940","Alabama","010","Randolph","1110","Randolph",84.9
"G0101130","1940","Alabama","010","Russell","1130","Russell",105.1
"G0101150","1940","Alabama","010","St Clair","1150","St Clair",89.9
"G0101170","1940","Alabama","010","Shelby","1170","Shelby",85.9
"G0101190","1940","Alabama","010","Sumter","1190","Sumter",92.6
"G0101210","1940","Alabama","010","Talladega","1210","Talladega",90.9
"G0101230","1940","Alabama","010","Tallapoosa","1230","Tallapoosa",108.0
"G0101250","1940","Alabama","010","Tuscaloosa","1250","Tuscaloosa",87.8
"G0101270","1940","Alabama","010","Walker","1270","Walker",56.8
"G0101290","1940","Alabama","010","Washington","1290","Washington",103.5
"G0101310","1940","Alabama","010","Wilcox","1310","Wilcox",83.5
"G0101330","1940","Alabama","010","Winston","1330","Winston",83.7
"G0250015","1940","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",209.5
"G0250035","1940","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",221.2
"G0250075","1940","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",299.4
"G0250115","1940","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",4909.1
"G0400010","1940","Arizona","040","Apache","0010","Apache",1563.8
"G0400030","1940","Arizona","040","Cochise","0030","Cochise",2720.1
"G0400050","1940","Arizona","040","Coconino","0050","Coconino",3146.2
"G0400070","1940","Arizona","040","Gila","0070","Gila",227.9
"G0400090","1940","Arizona","040","Graham","0090","Graham",730.5
"G0400110","1940","Arizona","040","Greenlee","0110","Greenlee",1320.4
"G0400130","1940","Arizona","040","Maricopa","0130","Maricopa",242.3
"G0400150","1940","Arizona","040","Mohave","0150","Mohave",6811.1
"G0400170","1940","Arizona","040","Navajo","0170","Navajo",1488.8
"G0400190","1940","Arizona","040","Pima","0190","Pima",1245.0
"G0400210","1940","Arizona","040","Pinal","0210","Pinal",1178.7
"G0400230","1940","Arizona","040","Santa Cruz","0230","Santa Cruz",2132.6
"G0400250","1940","Arizona","040","Yavapai","0250","Yavapai",2331.6
"G0400270","1940","Arizona","040","Yuma","0270","Yuma",154.9
"G0500010","1940","Arkansas","050","Arkansas","0010","Arkansas",169.1
"G0500030","1940","Arkansas","050","Ashley","0030","Ashley",58.1
