GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B3D001,B3L001
"G0100010","1950","Alabama","010","Autauga","0010","Autauga",3012505,1.45
"G0100030","1950","Alabama","010","Baldwin","0030","Baldwin",8145093,1.10
"G0100050","1950","Alabama","010","Barbour","0050","Barbour",5388750,1.70
"G0100070","1950","Alabama","010","Bibb","0070","Bibb",1148023,1.00
"G0100090","1950","Alabama","010","Blount","0090","Blount",5389068,0.70
"G0100110","1950","Alabama","010","Bullock","0110","Bullock",2145939,1.68
"G0100130","1950","Alabama","010","Butler","0130","Butler",2456251,1.04
"G0100150","1950","Alabama","010","Calhoun","0150","Calhoun",2003725,0.85
"G0100170","1950","Alabama","010","Chambers","0170","Chambers",2578873,1.30
"G0100190","1950","Alabama","010","Cherokee","0190","Cherokee",3644566,1.01
"G0100210","1950","Alabama","010","Chilton","0210","Chilton",2723507,0.82
"G0100230","1950","Alabama","010","Choctaw","0230","Choctaw",1187941,1.19
"G0100250","1950","Alabama","010","Clarke","0250","Clarke",1510261,1.12
"G0100270","1950","Alabama","010","Clay","0270","Clay",1138584,0.95
"G0100290","1950","Alabama","010","Cleburne","0290","Cleburne",779762,0.99
"G0100310","1950","Alabama","010","Coffee","0310","Coffee",6895621,1.03
"G0100330","1950","Alabama","010","Colbert","0330","Colbert",6027271,1.12
"G0100350","1950","Alabama","010","Conecuh","0350","Conecuh",2875235,0.98
"G0100370","1950","Alabama","010","Coosa","0370","Coosa",859367,1.25
"G0100390","1950","Alabama","010","Covington","0390","Covington",5060339,1.07
"G0100410","1950","Alabama","010","Crenshaw","0410","Crenshaw",3527149,1.06
"G0100430","1950","Alabama","010","Cullman","0430","Cullman",8362184,0.52
"G0100450","1950","Alabama","010","Dale","0450","Dale",3862591,1.37
"G0100470","1950","Alabama","010","Dallas","0470","Dallas",6569487,1.23
"G0100490","1950","Alabama","010","DeKalb","0490","Dekalb",8073302,0.56
"G0100510","1950","Alabama","010","Elmore","0510","Elmore",3620124,0.98
"G0100530","1950","Alabama","010","Escambia","0530","Escambia",3269556,0.79
"G0100550","1950","Alabama","010","Etowah","0550","Etowah",2930741,0.64
"G0100570","1950","Alabama","010","Fayette","0570","Fayette",1877168,0.99
"G0100590","1950","Alabama","010","Franklin","0590","Franklin",3132860,0.99
"G0100610","1950","Alabama","010","Geneva","0610","Geneva",6442789,1.07
"G0100630","1950","Alabama","010","Greene","0630","Greene",2570201,1.38
"G0100650","1950","Alabama","010","Hale","0650","Hale",4522117,1.01
"G0100670","1950","Alabama","010","Henry","0670","Henry",6418276,1.32
"G0100690","1950","Alabama","010","Houston","0690","Houston",8612768,0.91
"G0100710","1950","Alabama","010","Jackson","0710","Jackson",5734653,0.86
"G0100730","1950","Alabama","010","Jefferson","0730","Jefferson",2930028,0.46
"G0100750","1950","Alabama","010","Lamar","0750","Lamar",2192492,1.13
"G0100770","1950","Alabama","010","Lauderdale","0770","Lauderdale",5914496,0.76
"G0100790","1950","Alabama","010","Lawrence","0790","Lawrence",7796190,0.73
"G0100810","1950","Alabama","010","Lee","0810","Lee",2586956,1.37
"G0100830","1950","Alabama","010","Limestone","0830","Limestone",10276576,0.72
"G0100850","1950","Alabama","010","Lowndes","0850","Lowndes",3738686,1.38
"G0100870","1950","Alabama","010","Macon","0870","Macon",2518180,1.14
"G0100890","1950","Alabama","010","Madison","0890","Madison",10783542,0.83
"G0100910","1950","Alabama","010","Marengo","0910","Marengo",4541586,1.28
"G0100930","1950","Alabama","010","Marion","0930","Marion",3130822,0.92
"G0100950","1950","Alabama","010","Marshall","0950","Marshall",7836829,0.50
"G0100970","1950","Alabama","010","Mobile","0970","Mobile",5262656,0.82
"G0100990","1950","Alabama","010","Monroe","0990","Monroe",3785739,1.31
"G0101010","1950","Alabama","010","Montgomery","1010","Montgomery",8585510,1.68
"G0101030","1950","Alabama","010","Morgan","1030","Morgan",6757605,0.68
"G0101050","1950","Alabama","010","Perry","1050","Perry",3567117,1.43
"G0101070","1950","Alabama","010","Pickens","1070","Pickens",3220014,1.14
"G0101090","1950","Alabama","010","Pike","1090","Pike",5461891,1.34
"G0101110","1950","Alabama","010","Randolph","1110","Randolph",1971692,0.87
"G0101130","1950","Alabama","010","Russell","1130","Russell",2205859,1.48
"G0101150","1950","Alabama","010","St Clair","1150","St Clair",1492436,1.01
"G0101170","1950","Alabama","010","Shelby","1170","Shelby",1944588,0.99
"G0101190","1950","Alabama","010","Sumter","1190","Sumter",3414586,1.39
"G0101210","1950","Alabama","010","Talladega","1210","Talladega",3435539,0.98
"G0101230","1950","Alabama","010","Tallapoosa","1230","Tallapoosa",1839841,1.28
"G0101250","1950","Alabama","010","Tuscaloosa","1250","Tuscaloosa",4049832,0.95
"G0101270","1950","Alabama","010","Walker","1270","Walker",1880574,0.55
"G0101290","1950","Alabama","010","Washington","1290","Washington",1490428,1.27
"G0101310","1950","Alabama","010","Wilcox","1310","Wilcox",3248894,1.21
"G0101330","1950","Alabama","010","Winston","1330","Winston",1679609,0.82
"G0250015","1950","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",337183,0.61
"G0250035","1950","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",253970,1.92
"G0250075","1950","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",,
"G0250115","1950","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",980778,10.81
"G0400010","1950","Arizona","040","Apache","0010","Apache",3419675,192.02
"G0400030","1950","Arizona","040","Cochise","0030","Cochise",5847344,30.33
"G0400050","1950","Arizona","040","Coconino","0050","Coconino",3736931,247.87
"G0400070","1950","Arizona","040","Gila","0070","Gila",2120706,27.95
"G0400090","1950","Arizona","040","Graham","0090","Graham",8303547,50.24
"G0400110","1950","Arizona","040","Greenlee","0110","Greenlee",1138582,20.61
"G0400130","1950","Arizona","040","Maricopa","0130","Maricopa",92190696,5.56
"G0400150","1950","Arizona","040","Mohave","0150","Mohave",1445815,163.63
"G0400170","1950","Arizona","040","Navajo","0170","Navajo",4034764,178.15
"G0400190","1950","Arizona","040","Pima","0190","Pima",9344908,53.16
"G0400210","1950","Arizona","040","Pinal","0210","Pinal",42579460,21.19
"G0400230","1950","Arizona","040","Santa Cruz","0230","Santa Cruz",1893916,19.30
"G0400250","1950","Arizona","040","Yavapai","0250","Yavapai",5641479,47.55
"G0400270","1950","Arizona","040","Yuma","0270","Yuma",22238986,7.28
"G0500010","1950","Arkansas","050","Arkansas","0010","Arkansas",12189970,2.28
"G0500030","1950","Arkansas","050","Ashley","0030","Ashley",4811290,0.86
"G0500050","1950","Arkansas","050","Baxter","0050","Baxter",839947,1.35
"G0500070","1950","Arkansas","050","Benton","0070","Benton",15260816,0.86
"G0500090","1950","Arkansas","050","Boone","0090","Boone",2490169,1.48
"G0500110","1950","Arkansas","050","Bradley","0110","Bradley",1661903,0.78
"G0500130","1950","Arkansas","050","Calhoun","0130","Calhoun",1030829,0.94
"G0500150","1950","Arkansas","050","Carroll","0150","Carroll",3433983,1.50
"G0500170","1950","Arkansas","050","Chicot","0170","Chicot",4457594,1.13
"G0500190","1950","Arkansas","050","Clark","0190","Clark",1826530,1.13
"G0500210","1950","Arkansas","050","Clay","0210","Clay",10257742,1.03
"G0500230","1950","Arkansas","050","Cleburne","0230","Cleburne",2305033,1.37
"G0500250","1950","Arkansas","050","Cleveland","0250","Cleveland",1383537,1.07
"G0500270","1950","Arkansas","050","Columbia","0270","Columbia",2937716,0.99
"G0500290","1950","Arkansas","050","Conway","0290","Conway",2795646,1.24
"G0500310","1950","Arkansas","050","Craighead","0310","Craighead",18307736,0.84
"G0500330","1950","Arkansas","050","Crawford","0330","Crawford",2613557,0.87
"G0500350","1950","Arkansas","050","Crittenden","0350","Crittenden",21578700,0.57
"G0500370","1950","Arkansas","050","Cross","0370","Cross",11743538,0.97
"G0500390","1950","Arkansas","050","Dallas","0390","Dallas",827374,0.87
"G0500410","1950","Arkansas","050","Desha","0410","Desha",6417706,0.79
"G0500430","1950","Arkansas","050","Drew","0430","Drew",2892550,1.01
"G0500450","1950","Arkansas","050","Faulkner","0450","Faulkner",3462557,1.02
"G0500470","1950","Arkansas","050","Franklin","0470","Franklin",1799963,1.32
"G0500490","1950","Arkansas","050","Fulton","0490","Fulton",1790334,1.64
"G0500510","1950","Arkansas","050","Garland","0510","Garland",1092398,0.79
"G0500530","1950","Arkansas","050","Grant","0530","Grant",592549,0.82
"G0500550","1950","Arkansas","050","Greene","0550","Greene",9750980,0.92
"G0500570","1950","Arkansas","050","Hempstead","0570","Hempstead",2963241,1.16
"G0500590","1950","Arkansas","050","Hot Spring","0590","Hot Spring",1300117,0.91
"G0500610","1950","Arkansas","050","Howard","0610","Howard",1986962,1.02
"G0500630","1950","Arkansas","050","Independence","0630","Independence",4479101,1.24
"G0500650","1950","Arkansas","050","Izard","0650","Izard",1782155,1.57
"G0500670","1950","Arkansas","050","Jackson","0670","Jackson",8450142,1.49
"G0500690","1950","Arkansas","050","Jefferson","0690","Jefferson",13083588,0.67
"G0500710","1950","Arkansas","050","Johnson","0710","Johnson",1660950,1.01
"G0500730","1950","Arkansas","050","Lafayette","0730","Lafayette",2959790,0.98
"G0500750","1950","Arkansas","050","Lawrence","0750","Lawrence",5643037,1.26
"G0500770","1950","Arkansas","050","Lee","0770","Lee",10559958,0.76
"G0500790","1950","Arkansas","050","Lincoln","0790","Lincoln",5602844,0.81
"G0500810","1950","Arkansas","050","Little River","0810","Little River",1804500,1.60
"G0500830","1950","Arkansas","050","Logan","0830","Logan",2071278,1.23
"G0500850","1950","Arkansas","050","Lonoke","0850","Lonoke",13039102,1.16
"G0500870","1950","Arkansas","050","Madison","0870","Madison",2445133,1.41
"G0500890","1950","Arkansas","050","Marion","0890","Marion",1233067,1.48
"G0500910","1950","Arkansas","050","Miller","0910","Miller",3199921,1.04
"G0500930","1950","Arkansas","050","Mississippi","0930","Mississippi",41375352,0.70
"G0500950","1950","Arkansas","050","Monroe","0950","Monroe",6539005,0.94
"G0500970","1950","Arkansas","050","Montgomery","0970","Montgomery",764969,1.20
"G0500990","1950","Arkansas","050","Nevada","0990","Nevada",1659030,1.13
"G0501010","1950","Arkansas","050","Newton","1010","Newton",899387,1.15
"G0501030","1950","Arkansas","050","Ouachita","1030","Ouachita",1134522,0.85
"G0501050","1950","Arkansas","050","Perry","1050","Perry",637858,1.14
"G0501070","1950","Arkansas","050","Phillips","1070","Phillips",12063804,0.79
"G0501090","1950","Arkansas","050","Pike","1090","Pike",824489,0.92
"G0501110","1950","Arkansas","050","Poinsett","1110","Poinsett",19304924,0.86
"G0501130","1950","Arkansas","050","Polk","1130","Polk",1140544,1.04
"G0501150","1950","Arkansas","050","Pope","1150","Pope",1891105,1.10
"G0501170","1950","Arkansas","050","Prairie","1170","Prairie",5765926,1.74
"G0501190","1950","Arkansas","050","Pulaski","1190","Pulaski",4922201,0.74
"G0501210","1950","Arkansas","050","Randolph","1210","Randolph",4324645,1.44
"G0501230","1950","Arkansas","050","St Francis","1230","St Francis",14021442,0.71
"G0501250","1950","Arkansas","050","Saline","1250","Saline",1342695,0.79
"G0501270","1950","Arkansas","050","Scott","1270","Scott",1107606,1.24
"G0501290","1950","Arkansas","050","Searcy","1290","Searcy",1287722,1.37
"G0501310","1950","Arkansas","050","Sebastian","1310","Sebastian",2116369,0.96
"G0501330","1950","Arkansas","050","Sevier","1330","Sevier",1599505,1.04
"G0501350","1950","Arkansas","050","Sharp","1350","Sharp",1687785,1.64
"G0501370","1950","Arkansas","050","Stone","1370","Stone",692838,1.35
"G0501390","1950","Arkansas","050","Union","1390","Union",1630200,0.81
"G0501410","1950","Arkansas","050","Van Buren","1410","Van Buren",1125025,1.32
"G0501430","1950","Arkansas","050","Washington","1430","Washington",13291576,0.92
"G0501450","1950","Arkansas","050","White","1450","White",5707373,1.11
"G0501470","1950","Arkansas","050","Woodruff","1470","Woodruff",7017077,1.21
"G0501490","1950","Arkansas","050","Yell","1490","Yell",2158294,1.30
"G0600010","1950","California","060","Alameda","0010","Alameda",23155616,1.39
"G0600030","1950","California","060","Alpine","0030","Alpine",181750,12.32
"G0600050","1950","California","060","Amador","0050","Amador",2555366,7.81
"G0600070","1950","California","060","Butte","0070","Butte",23754790,2.52
"G0600090","1950","California","060","Calaveras","0090","Calaveras",2479365,8.36
"G0600110","1950","California","060","Colusa","0110","Colusa",17078216,6.56
"G0600130","1950","California","060","Contra Costa","0130","Contra Costa",17251256,1.62
"G0600150","1950","California","060","Del Norte","0150","Del Norte",1239421,1.71
"G0600170","1950","California","060","El Dorado","0170","El Dorado",2892947,3.42
"G0600190","1950","California","060","Fresno","0190","Fresno",144006192,2.01
"G0600210","1950","California","060","Glenn","0210","Glenn",18369324,4.01
"G0600230","1950","California","060","Humboldt","0230","Humboldt",10986082,4.52
"G0600250","1950","California","060","Imperial","0250","Imperial",75197728,2.80
"G0600270","1950","California","060","Inyo","0270","Inyo",1372415,11.46
"G0600290","1950","California","060","Kern","0290","Kern",122066240,12.75
"G0600310","1950","California","060","Kings","0310","Kings",43765552,3.46
"G0600330","1950","California","060","Lake","0330","Lake",4195204,2.39
"G0600350","1950","California","060","Lassen","0350","Lassen",3516146,16.24
"G0600370","1950","California","060","Los Angeles","0370","Los Angeles",156962336,0.72
"G0600390","1950","California","060","Madera","0390","Madera",31055870,4.34
"G0600410","1950","California","060","Marin","0410","Marin",12311498,4.25
"G0600430","1950","California","060","Mariposa","0430","Mariposa",1985297,8.36
"G0600450","1950","California","060","Mendocino","0450","Mendocino",7441711,7.03
"G0600470","1950","California","060","Merced","0470","Merced",54779520,2.91
"G0600490","1950","California","060","Modoc","0490","Modoc",9625128,8.27
"G0600510","1950","California","060","Mono","0510","Mono",1154094,8.75
"G0600530","1950","California","060","Monterey","0530","Monterey",57833000,8.24
"G0600550","1950","California","060","Napa","0550","Napa",9267006,2.34
"G0600570","1950","California","060","Nevada","0570","Nevada",1823478,2.95
"G0600590","1950","California","060","Orange","0590","Orange",56539256,0.67
"G0600610","1950","California","060","Placer","0610","Placer",7827187,1.87
"G0600630","1950","California","060","Plumas","0630","Plumas",1311611,9.47
"G0600650","1950","California","060","Riverside","0650","Riverside",51599292,1.32
"G0600670","1950","California","060","Sacramento","0670","Sacramento",35317712,1.49
"G0600690","1950","California","060","San Benito","0690","San Benito",11221326,7.66
"G0600710","1950","California","060","San Bernardino","0710","San Bernardino",50110892,0.90
"G0600730","1950","California","060","San Diego","0730","San Diego",40275876,1.49
"G0600750","1950","California","060","San Francisco","0750","San Francisco",2162125,0.03
"G0600770","1950","California","060","San Joaquin","0770","San Joaquin",86852424,1.54
"G0600790","1950","California","060","San Luis Obispo","0790","San Luis Obispo",20392080,8.46
"G0600810","1950","California","060","San Mateo","0810","San Mateo",10176090,1.51
"G0600830","1950","California","060","Santa Barbara","0830","Santa Barbara",52942968,6.11
"G0600850","1950","California","060","Santa Clara","0850","Santa Clara",49986736,1.12
"G0600870","1950","California","060","Santa Cruz","0870","Santa Cruz",17262464,0.80
"G0600890","1950","California","060","Shasta","0890","Shasta",4128840,6.53
"G0600910","1950","California","060","Sierra","0910","Sierra",518211,12.11
"G0600930","1950","California","060","Siskiyou","0930","Siskiyou",9536252,8.80
"G0600950","1950","California","060","Solano","0950","Solano",18074902,3.35
"G0600970","1950","California","060","Sonoma","0970","Sonoma",52247052,1.24
"G0600990","1950","California","060","Stanislaus","0990","Stanislaus",65641452,1.28
"G0601010","1950","California","060","Sutter","1010","Sutter",31164716,2.06
"G0601030","1950","California","060","Tehama","1030","Tehama",12407494,6.59
"G0601050","1950","California","060","Trinity","1050","Trinity",543047,8.23
"G0601070","1950","California","060","Tulare","1070","Tulare",105410928,1.99
"G0601090","1950","California","060","Tuolumne","1090","Tuolumne",3134039,5.81
"G0601110","1950","California","060","Ventura","1110","Ventura",49542288,2.47
"G0601130","1950","California","060","Yolo","1130","Yolo",29265008,4.04
"G0601150","1950","California","060","Yuba","1150","Yuba",8066420,3.34
"G0800010","1950","Colorado","080","Adams","0010","Adams",18077496,4.32
"G0800030","1950","Colorado","080","Alamosa","0030","Alamosa",3779126,7.51
"G0800050","1950","Colorado","080","Arapahoe","0050","Arapahoe",7596597,5.92
"G0800070","1950","Colorado","080","Archuleta","0070","Archuleta",1485798,9.15
"G0800090","1950","Colorado","080","Baca","0090","Baca",15623514,12.97
"G0800110","1950","Colorado","080","Bent","0110","Bent",7381045,13.94
"G0800130","1950","Colorado","080","Boulder","0130","Boulder",11399912,2.01
"G0800150","1950","Colorado","080","Chaffee","0150","Chaffee",859399,6.75
"G0800170","1950","Colorado","080","Cheyenne","0170","Cheyenne",5638996,21.04
"G0800190","1950","Colorado","080","Clear Creek","0190","Clear Creek",72926,6.63
"G0800210","1950","Colorado","080","Conejos","0210","Conejos",6545961,5.04
"G0800230","1950","Colorado","080","Costilla","0230","Costilla",2523926,11.94
"G0800250","1950","Colorado","080","Crowley","0250","Crowley",4115425,8.59
"G0800270","1950","Colorado","080","Custer","0270","Custer",1509825,11.37
"G0800290","1950","Colorado","080","Delta","0290","Delta",6877950,2.02
"G0800310","1950","Colorado","080","Denver","0310","Denver",2138057,0.07
"G0800330","1950","Colorado","080","Dolores","0330","Dolores",1905162,5.95
"G0800350","1950","Colorado","080","Douglas","0350","Douglas",2762316,8.71
"G0800370","1950","Colorado","080","Eagle","0370","Eagle",2837779,10.32
"G0800390","1950","Colorado","080","Elbert","0390","Elbert",6394049,13.43
"G0800410","1950","Colorado","080","El Paso","0410","El Paso",7896776,10.44
"G0800430","1950","Colorado","080","Fremont","0430","Fremont",2177375,5.53
"G0800450","1950","Colorado","080","Garfield","0450","Garfield",4868133,5.84
"G0800470","1950","Colorado","080","Gilpin","0470","Gilpin",24439,4.98
"G0800490","1950","Colorado","080","Grand","0490","Grand",1466159,17.91
"G0800510","1950","Colorado","080","Gunnison","0510","Gunnison",2771803,13.24
"G0800530","1950","Colorado","080","Hinsdale","0530","Hinsdale",190022,13.01
"G0800550","1950","Colorado","080","Huerfano","0550","Huerfano",2489897,16.62
"G0800570","1950","Colorado","080","Jackson","0570","Jackson",2407286,29.67
"G0800590","1950","Colorado","080","Jefferson","0590","Jefferson",7068188,1.93
"G0800610","1950","Colorado","080","Kiowa","0610","Kiowa",4861011,16.53
"G0800630","1950","Colorado","080","Kit Carson","0630","Kit Carson",10198466,11.75
"G0800650","1950","Colorado","080","Lake","0650","Lake",121300,7.93
"G0800670","1950","Colorado","080","La Plata","0670","La Plata",3811531,10.35
"G0800690","1950","Colorado","080","Larimer","0690","Larimer",15427624,4.30
